age,years_with_company,vehicle_value,coverage_amount,credit_score,income,driving_distance,region,vehicle_type,claim_type,claim_amount
43.0,8.0,10.703899051415565,17.878763116591713,628.0,35.74532311394111,13.159359828228354,Northeast,SUV,Major Damage,6138.86990274538
20.0,5.0,38.89422861891844,35.8427587758848,693.0,72.30631523940673,7.232011973854829,Northeast,Sedan,Major Damage,10421.355294254921
49.0,6.0,33.19676736089583,42.09794874837839,726.0,63.52825361894198,8.72400570610592,Midwest,Sedan,Major Damage,11473.451146657293
41.0,6.0,36.407144767325526,53.495587001764186,746.0,109.00402687888277,15.693347766809943,Midwest,Compact,Minor Damage,12601.052369410214
39.0,8.0,51.51620778347059,52.855421296280994,690.0,64.79808658804076,19.507597101506725,South,Compact,Major Damage,14893.554798760739
41.0,3.0,15.067072780835879,32.933212082115794,651.0,47.75584437979655,7.997239534634059,South,Sedan,Moderate Damage,7797.6488720604975
54.0,9.0,41.90400428009562,37.37824479739464,793.0,108.50143172991835,9.050321039938346,Northeast,SUV,Minor Damage,12481.118251804373
52.0,5.0,22.650456234078195,42.90606798017173,684.0,71.55049940599156,10.240524150364722,South,Sedan,Major Damage,10243.066977284585
33.0,3.0,45.79399439663088,54.19421178766622,768.0,67.82479418944988,9.808767785898294,West,Luxury,Moderate Damage,13518.855297155387
58.0,10.0,45.79910661827909,50.26693953553941,602.0,61.24863981947145,19.733170055248138,West,Sedan,Total Loss,14930.550406966218
58.0,4.0,31.3975698678343,27.172541877677777,766.0,92.27846582991211,9.877728681248854,Midwest,Truck,Major Damage,10438.382047420588
45.0,6.0,13.208931229973016,25.57853247380325,671.0,90.94100036907965,10.448992341895485,West,Sedan,Moderate Damage,7106.8470909476
67.0,11.0,25.97994838915371,22.764409278509838,719.0,44.18488970024414,18.464709892699304,West,Sedan,Moderate Damage,9926.762747971326
56.0,7.0,35.244796194282664,29.383993280016398,582.0,36.40538115492738,14.306705246157204,Northeast,Truck,Minor Damage,11526.106522697643
56.0,5.0,43.54248487203573,51.928186662967796,715.0,61.74016119490409,15.943596931796979,South,Sedan,Total Loss,14379.21758713771
48.0,6.0,32.4741069838699,55.745860978724075,844.0,100.46212581508682,8.375548507910434,Northeast,Sedan,Major Damage,12162.173638576172
44.0,5.0,41.34750939870074,49.56632507573303,624.0,20.0,9.879281267297056,South,Compact,Major Damage,13291.41444754618
39.0,4.0,10.586752162399137,16.44570112335732,715.0,87.76752427561578,7.8411265692841585,Midwest,Truck,Minor Damage,5559.69707846056
36.0,6.0,25.63173813598403,32.84712995865565,837.0,85.34466862305241,15.205046184143264,Northeast,SUV,Major Damage,8888.657271693639
21.0,4.0,23.31526639459429,34.71270364397988,827.0,60.214884592899594,16.900972831133775,West,Truck,Minor Damage,8032.830571485878
35.0,2.0,32.897152702839335,57.597929544684,674.0,38.6706851378061,9.600902523273948,South,Sedan,Minor Damage,12154.42983208247
49.0,11.0,9.827031251222554,17.434384405072755,758.0,48.03402518331035,10.543034708382894,Midwest,Truck,Moderate Damage,5901.381307798776
55.0,6.0,16.686697117234306,25.73305589778458,729.0,43.70501207403441,10.718039739845368,Northeast,Sedan,Minor Damage,8031.600032904047
59.0,10.0,38.66136316430266,60.259580451040065,831.0,81.04508629606264,5.811104026887297,Northeast,Truck,Minor Damage,13903.248511400787
41.0,7.0,17.686741758456268,33.50673975222547,727.0,33.28005218677772,9.304711688961385,Midwest,Sedan,Moderate Damage,8057.1682361705125
59.0,8.0,28.857049990973117,28.379337450580564,588.0,29.034074594106265,15.093064859054405,West,Sedan,Total Loss,10630.231116168774
80.0,15.0,41.93803658178371,45.738757107283476,763.0,89.42322257033686,8.498325982219624,West,SUV,Total Loss,14411.264205405727
57.0,14.0,13.910291530226624,20.59080235380761,780.0,47.73947411591355,12.371927448819953,Midwest,Luxury,Major Damage,7123.106104059101
41.0,2.0,35.40914357112789,47.732081865971736,737.0,60.14322988410086,6.767924102143374,Northeast,SUV,Major Damage,11845.136187500508
30.0,12.0,32.27695100241251,34.431279828008456,637.0,42.032313096296804,11.42399635548453,Northeast,Truck,Moderate Damage,9927.644945489666
29.0,2.0,32.47352990235047,50.24964810973823,690.0,77.30312627449185,9.746715381655969,West,Sedan,Total Loss,11174.669218673029
24.0,4.0,26.711456579079456,33.76795004668931,783.0,90.3956536183587,7.113314064864931,Northeast,Sedan,Minor Damage,8459.987342218685
59.0,8.0,21.54115443910253,20.85554941325354,746.0,112.29217247946264,15.161544384620447,Midwest,Sedan,Major Damage,8616.655728541175
28.0,6.0,23.28728513889019,27.25909735204479,751.0,69.41909249930517,15.386509444804075,South,Luxury,Total Loss,7866.483295117213
37.0,7.0,35.99851038379157,45.2943281259772,742.0,108.81060009790097,8.1218451510561,South,Sedan,Moderate Damage,11487.368936423314
46.0,3.0,21.608718919918044,22.020510872977233,632.0,43.424821549925205,11.135266143225092,South,Luxury,Minor Damage,8272.330361406512
51.0,12.0,25.596954078246693,37.277713244623556,807.0,78.59202247191735,12.177274732289797,West,Compact,Moderate Damage,9882.192039614134
41.0,10.0,21.468540482134173,22.377388116327033,756.0,102.15409112412894,4.740952851488602,West,Luxury,Minor Damage,7516.995942913503
46.0,9.0,6.688213036457288,14.270558225194932,605.0,38.78384634764855,6.411629094423872,West,Compact,Major Damage,5260.167340844785
26.0,2.0,6.614619016182054,16.34490328716737,790.0,78.68825568733068,17.145137745467125,South,SUV,Total Loss,4418.413559037375
35.0,8.0,31.93111277371549,28.16506252979509,549.0,27.832038252369202,7.739492413989717,Northeast,Compact,Major Damage,9768.359228790674
52.0,5.0,42.36614237754296,44.82032739512216,758.0,102.18623470796311,17.032732433006785,West,SUV,Major Damage,13375.365859066384
27.0,5.0,7.111592723435976,26.14457462292004,702.0,75.64957804462591,6.618345302466676,Northeast,Compact,Major Damage,5194.763510910666
49.0,5.0,31.40693270483657,26.297544168132205,672.0,78.4947683342775,14.635311108561611,South,Truck,Total Loss,10211.726216890102
46.0,2.0,24.5824533202308,29.617604435846758,805.0,100.14819758682654,10.754787569958658,Northeast,SUV,Minor Damage,8985.646042151327
54.0,10.0,31.708653257251456,32.04338018093907,690.0,71.39146635243185,11.316934923382533,South,Sedan,Minor Damage,10772.691776147407
50.0,9.0,24.569532940250554,47.901276016142305,770.0,78.39093971162909,19.423743654135855,South,SUV,Major Damage,10828.125613682363
48.0,8.0,10.117029720411441,10.0,759.0,83.23976052461137,6.983253462725273,West,Truck,Total Loss,5254.135794629848
63.0,10.0,31.472066867715814,32.118429790554856,805.0,98.41387929380585,14.379192785044284,West,Compact,Minor Damage,11039.764233027869
32.0,4.0,29.961133844633572,31.17190798340563,661.0,86.57043888075832,14.213958654231288,South,Compact,Moderate Damage,9561.27168172327
36.0,5.0,21.722748317386042,33.19592091011351,733.0,67.87243033705396,25.41829355666551,Northeast,Compact,Total Loss,8808.543259333625
40.0,12.0,23.404009426198506,29.578487054745317,600.0,50.83335986477593,7.6914767190724564,Midwest,Compact,Moderate Damage,8689.167296286212
61.0,9.0,32.771650021315345,44.67945437646564,836.0,33.54633179545022,9.496060825986254,South,Compact,Total Loss,11970.50537396421
53.0,4.0,31.006170445067166,19.438374553875118,489.0,43.4465304386582,15.263689143330216,West,Truck,Total Loss,10199.58775965334
51.0,12.0,41.259966421652976,39.840059461130174,715.0,81.86678839019156,11.198944563192548,Northeast,SUV,Moderate Damage,12596.173334218174
44.0,10.0,15.996753726678541,19.1098896908776,659.0,20.0,10.147796173073003,Northeast,Compact,Moderate Damage,6913.999138598814
32.0,3.0,34.625495016758116,38.048715969581,635.0,85.26516940239505,15.830045953292661,Midwest,Sedan,Moderate Damage,10918.472678912514
51.0,13.0,5.0,10.0,665.0,48.84379405231613,10.933726254785118,Midwest,Compact,Moderate Damage,4848.343156369629
36.0,6.0,26.490167781420006,25.272175557430195,500.0,20.0,8.432563718474329,South,SUV,Minor Damage,8916.113304769275
59.0,10.0,21.106159535004693,25.077681720777207,782.0,74.41737121690966,14.904840619047924,Northeast,Sedan,Minor Damage,8780.75948338908
19.0,4.0,22.595581704919983,35.94660682238036,773.0,62.7020794482631,13.501152032111442,South,Compact,Minor Damage,7946.594602331212
46.0,5.0,35.67883548582501,57.29226987715016,590.0,38.86853275385866,10.748613617576094,South,Sedan,Moderate Damage,13248.922253485167
